BB,BB Band,BP,BP Band,SB,SB Band,VB,VB Band,Overall Risk Level,Overall Risk Level Band
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
6.1681,2,6.1681,2,6.1681,2,0,1,18.5042,2
5.8151,2,5.8151,2,5.8151,2,0,1,17.4452,2
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
5.8151,2,5.8151,2,5.8151,2,0,1,17.4452,2
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
5.8151,2,5.8151,2,5.8151,2,0,1,17.4452,2
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
5.8151,2,5.8151,2,5.8151,2,0,1,17.4452,2
2.25,1,2.25,1,2.25,1,0,1,6.75,1
5.8151,2,5.8151,2,5.8151,2,0,1,17.4452,2
5.8151,2,5.8151,2,5.8151,2,0,1,17.4452,2
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
2.25,1,2.25,1,2.25,1,0,1,6.75,1
