BB,BB Band,BP,BP Band,SB,SB Band,VB,VB Band,Overall Risk Level,Overall Risk Level Band
2.9819,1,5.9639,2,5.9639,2,33.641,3,48.5507,3
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
