BB,BB Band,BP,BP Band,SB,SB Band,VB,VB Band,Overall Risk Level,Overall Risk Level Band
5.8151,2,11.6301,3,5.8151,2,15.2475,2,38.5077,3
2.7,1,5.4,2,2.7,1,0.0,1,10.8,2
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,4.5,1,0.0,1,9.0,1
9.3148,2,9.3148,2,9.3148,2,42.1651,3,70.1096,3
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
9.0015,2,0.0,1,18.003,3,51.2287,3,78.2331,3
3.2933,1,0.0,1,6.5867,2,23.1856,2,33.0656,2
9.0015,2,0.0,1,18.003,3,53.7978,3,80.8022,3
6.2516,2,6.2516,2,6.2516,2,0.0,1,18.7548,2
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
1.8,1,1.8,1,1.8,1,0.0,1,5.4,1
1.909,1,1.909,1,3.8179,1,12.4592,2,20.0951,2
1.6267,1,0.0,1,1.6267,1,10.2856,2,13.539,2
3.2933,1,0.0,1,3.2933,1,16.2519,2,22.8386,2
2.9819,1,2.9819,1,5.9639,2,6.2445,1,18.1723,2
2.9819,1,2.9819,1,5.9639,2,12.4719,2,24.3997,2
2.9819,1,2.9819,1,5.9639,2,12.4719,2,24.3997,2
2.9819,1,2.9819,1,5.9639,2,12.4719,2,24.3997,2
2.9819,1,2.9819,1,5.9639,2,12.4719,2,24.3997,2
2.7,1,2.7,1,5.4,2,11.3873,2,22.1873,2
2.7,1,2.7,1,5.4,2,12.4738,2,23.2738,2
2.7,1,2.7,1,5.4,2,12.4738,2,23.2738,2
2.7,1,0.0,1,2.7,1,17.6019,2,23.0019,2
3.6442,1,3.6442,1,6.6261,2,0.0,1,13.9145,2
7.8419,2,7.8419,2,7.8419,2,0.0,1,23.5258,2
9.9386,2,0.0,1,9.9386,2,43.428,3,63.3052,3
4.0988,1,0.0,1,4.0988,1,11.8232,2,20.0207,2
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
8.6391,2,8.6391,2,8.6391,2,25.1365,3,51.0539,3
5.8431,2,0.0,1,5.8431,2,32.4895,3,44.1757,3
9.4762,2,9.4762,2,9.4762,2,0.0,1,28.4285,2
4.0988,1,4.0988,1,4.0988,1,9.4949,1,21.7912,1
