BB,BB Band,BP,BP Band,SB,SB Band,VB,VB Band,Overall Risk Level,Overall Risk Level Band
6.4901,2,6.4901,2,6.4901,2,0.0,1,19.4702,2
7.9487,2,0.0,1,7.9487,2,29.5098,3,45.4073,3
3.2933,1,3.2933,1,3.2933,1,15.3946,2,25.2746,2
3.2933,1,3.2933,1,3.2933,1,12.641,2,22.5211,2
2.6462,1,0.0,1,5.2924,2,18.3825,2,26.3211,2
3.2933,1,3.2933,1,3.2933,1,14.1293,2,24.0093,2
2.9819,1,2.9819,1,2.9819,1,0.0,1,8.9458,1
6.4901,2,6.4901,2,12.9801,3,18.3343,2,44.2945,3
6.4901,2,6.4901,2,12.9801,3,18.3343,2,44.2945,3
2.25,1,2.25,1,4.5,1,13.4117,2,22.4117,2
2.25,1,2.25,1,4.5,1,13.4117,2,22.4117,2
3.6442,1,3.6442,1,7.2884,2,21.0034,2,35.5801,2
5.1012,2,5.1012,2,5.1012,2,0.0,1,15.3036,2
4.4535,1,4.4535,1,4.4535,1,0.0,1,13.3604,1
2.7,1,2.7,1,5.4,2,15.862,2,26.662,2
2.7,1,2.7,1,5.4,2,16.1196,2,26.9196,2
2.25,1,2.25,1,4.5,1,13.4117,2,22.4117,2
2.25,1,2.25,1,4.5,1,13.4117,2,22.4117,2
2.7,1,2.7,1,5.4,2,11.3873,2,22.1873,2
2.7,1,2.7,1,5.4,2,11.3873,2,22.1873,2
2.25,1,2.25,1,4.5,1,9.4744,1,18.4744,1
2.9819,1,2.9819,1,5.9639,2,12.29,2,24.2177,2
9.8057,2,9.8057,2,12.2458,3,53.0606,3,84.9179,3
7.8419,2,7.8419,2,15.6839,3,6.9231,1,38.2909,3
3.24,1,3.24,1,6.48,2,3.1427,1,16.1027,2
2.7,1,2.7,1,5.4,2,2.6117,1,13.4117,2
16.9993,3,16.9993,3,33.9985,4,39.8769,3,107.874,4
3.24,1,3.24,1,6.48,2,3.1427,1,16.1027,2
3.24,1,3.24,1,6.48,2,3.1427,1,16.1027,2
3.24,1,3.24,1,6.48,2,3.1427,1,16.1027,2
3.24,1,3.24,1,6.48,2,3.1427,1,16.1027,2
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
4.4535,1,4.4535,1,4.4535,1,0.0,1,13.3604,1
4.4535,1,4.4535,1,4.4535,1,0.0,1,13.3604,1
4.4535,1,4.4535,1,4.4535,1,0.0,1,13.3604,1
4.4535,1,4.4535,1,4.4535,1,0.0,1,13.3604,1
5.1012,2,0.0,1,5.1012,2,27.3948,3,37.5972,3
10.3117,3,0.0,1,10.3117,3,47.0804,3,67.7038,3
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.7,1,2.7,1,5.4,2,2.9549,1,13.7549,2
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
7.8419,2,7.8419,2,7.8419,2,0.0,1,23.5258,2
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
4.0988,1,4.0988,1,4.0988,1,17.5963,2,29.8926,2
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
4.4535,1,4.4535,1,4.4535,1,0.0,1,13.3604,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
4.0988,1,4.0988,1,8.1975,2,9.6731,1,26.0682,2
3.6442,1,3.6442,1,7.2884,2,8.6643,1,23.241,2
3.6442,1,3.6442,1,7.2884,2,8.6643,1,23.241,2
3.6442,1,3.6442,1,7.2884,2,8.6643,1,23.241,2
5.1012,2,5.1012,2,5.1012,2,0.0,1,15.3036,2
4.4535,1,4.4535,1,4.4535,1,0.0,1,13.3604,1
5.1012,2,5.1012,2,5.1012,2,0.0,1,15.3036,2
3.6442,1,3.6442,1,7.2884,2,17.0546,2,31.6313,2
2.9819,1,2.9819,1,5.9639,2,14.1265,2,26.0543,2
2.9819,1,2.9819,1,5.9639,2,14.1265,2,26.0543,2
2.9819,1,2.9819,1,5.9639,2,14.1265,2,26.0543,2
2.25,1,2.25,1,4.5,1,10.8902,2,19.8902,2
2.25,1,2.25,1,4.5,1,10.8902,2,19.8902,2
2.25,1,2.25,1,4.5,1,8.0673,1,17.0673,1
