Area type,Facility Type,Facility access,Loose or slippery surface,Tram or Train Rails,Major Surface Deformation or Drain Opening,Fixed Obstacle on Facility,Non-Fixed Obstacle on Facility,Delineation,Light Segregation,Facility Width per Direction,Flow Direction,Width Restriction,Adjacent Road Lane 0-1m,Adjacent Vehicle Parking 0-1m,Adjacent Severe Hazard 0-1m,Adjacent object or level change 0-1m,Adjacent Sidewalk 0-1m,Adjacent Road Lane 1-3m,Adjacent Vehicle Parking 1-3m,Adjacent Severe Hazard 1-3m,Adjacent object or level change 1-3m,Adjacent Sidewalk 1-3m,Grade,Curvature,Street Lighting,Pedestrian Crossing,Intersecting Bicycle Facility,Intersection Approach,Intersection or Road Crossing,Crossing Facility,Number of lanes – adjacent road,Number of lanes – intersecting road,Property Access,Peak pedestrian flow along or across facility,Peak bicycle/LV traffic flow,Observed proportion of cargo bikes and mopeds,Bicycle/LV speed – average,Bicycle/LV speed differential,Road AADT,Heavy vehicle flow,Road speed limit,Road operating speed (mean),Road operating speed (unit)
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,1.1,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,32.9,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,50,1,50,32.9,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,32.9,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,32.9,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,32.9,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,32.9,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,16.0,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,50,1,50,16.0,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,17.6,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,17.6,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,50,1,50,17.6,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,47.2,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,47.2,1
2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,47.2,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,47.2,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,47.2,1
2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,47.2,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,47.2,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,47.2,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,47.2,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,47.2,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,41.0,1
2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,50,1,50,41.0,1
