BB,BB Smoothed,BP,BP Smoothed,SB,SB Smoothed,VB,VBSmoothed,CycleRAP score,CycleRAP score Smoothed,BB Band,BP Band,SB Band,VB Band,CycleRAP score Band,BB Smoothed.1,BP Smoothed.1,SB Smoothed.1,VB Smoothed
2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.6999999999999997,2.7563897026278688,2.6999999999999997,2.7563897026278688,5.3999999999999995,5.5127794052557375,1.2468351552560843,1.3029143627336341,12.046835155256083,12.32847317324511,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.9819485131393457,2.7563897026278688,2.9819485131393457,2.7563897026278688,5.9638970262786914,5.5127794052557375,1.5272311926438327,1.3029143627336341,13.455025245201215,12.32847317324511,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.6999999999999997,2.7563897026278688,2.6999999999999997,2.7563897026278688,5.3999999999999995,5.5127794052557375,1.2468351552560843,1.3029143627336341,12.046835155256083,12.32847317324511,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.6999999999999997,2.7563897026278688,2.6999999999999997,2.7563897026278688,5.3999999999999995,5.5127794052557375,1.2468351552560843,1.3029143627336341,12.046835155256083,12.32847317324511,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.6999999999999997,2.7563897026278688,2.6999999999999997,2.7563897026278688,5.3999999999999995,5.5127794052557375,1.2468351552560843,1.3029143627336341,12.046835155256083,12.32847317324511,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.6999999999999997,2.8409742565696727,2.6999999999999997,2.8409742565696727,5.3999999999999995,4.190974256569673,0.6786390446848767,0.4088759436551896,11.478639044684876,10.281798713364207,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.9819485131393457,2.8409742565696727,2.9819485131393457,2.8409742565696727,2.9819485131393457,4.190974256569673,0.13911284262550253,0.4088759436551896,9.08495838204354,10.281798713364207,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
