BB,BB Band,BP,BP Band,SB,SB Band,VB,VB Band,Overall Risk Level,Overall Risk Level Band
8.1325,2,8.1325,2,8.1325,2,0.0,1,24.3976,2
2.25,1,2.25,1,4.5,1,1.0286,1,10.0286,1
2.25,1,2.25,1,4.5,1,1.0286,1,10.0286,1
2.25,1,2.25,1,4.5,1,1.0286,1,10.0286,1
2.25,1,2.25,1,4.5,1,1.0286,1,10.0286,1
2.25,1,2.25,1,4.5,1,1.0286,1,10.0286,1
2.25,1,2.25,1,4.5,1,1.0286,1,10.0286,1
2.25,1,2.25,1,4.5,1,0.5599,1,9.5599,1
7.64,2,7.64,2,15.2799,3,7.2237,1,37.7835,3
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.6462,1,2.6462,1,2.6462,1,1.7398,1,9.6783,1
2.9819,1,2.9819,1,2.9819,1,0.0,1,8.9458,1
3.6442,1,3.6442,1,3.6442,1,0.0,1,10.9325,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.4401,1,2.4401,1,2.4401,1,0.0,1,7.3202,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
3.6442,1,3.6442,1,3.6442,1,0.0,1,10.9325,1
8.6744,2,8.6744,2,8.6744,2,0.0,1,26.0232,2
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.7,1,2.7,1,5.4,2,0.8178,1,11.6178,2
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
4.0988,1,4.0988,1,4.0988,1,2.1246,1,14.4209,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
20.683,4,0.0,1,20.683,4,21.3396,2,62.7056,4
3.6442,1,3.6442,1,3.6442,1,0.0,1,10.9325,1
