BB,BB Band,BP,BP Band,SB,SB Band,VB,VB Band,Overall Risk Level,Overall Risk Level Band
7.8419,2,7.8419,2,15.6839,3,0.0,1,31.3678,3
11.121,3,0.0,1,11.121,3,35.2884,3,57.5304,3
7.8419,2,7.8419,2,7.8419,2,0.0,1,23.5258,2
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
7.8419,2,7.8419,2,7.8419,2,0.0,1,23.5258,2
3.24,1,3.24,1,6.48,2,0.0,1,12.96,2
7.8419,2,7.8419,2,7.8419,2,0.0,1,23.5258,2
3.24,1,3.24,1,6.48,2,0.0,1,12.96,2
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
7.8419,2,7.8419,2,7.8419,2,0.0,1,23.5258,2
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,3.6944,1,13.4144,1
4.0988,1,0.0,1,4.0988,1,16.6731,2,24.8706,2
4.0988,1,0.0,1,4.0988,1,18.2512,2,26.4488,2
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,3.6944,1,13.4144,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
2.7,1,2.7,1,2.7,1,0.0,1,8.1,1
3.6442,1,0.0,1,7.2884,2,12.7356,2,23.6681,2
2.25,1,2.25,1,4.5,1,2.358,1,11.358,1
3.6442,1,3.6442,1,3.6442,1,0.0,1,10.9325,1
4.0988,1,0.0,1,4.0988,1,11.6803,2,19.8779,2
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,4.5,1,2.2773,1,11.2773,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
3.2933,1,0.0,1,3.2933,1,11.0607,2,17.6474,2
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,2.25,1,2.25,1,0.0,1,6.75,1
2.25,1,4.5,1,2.25,1,0.0,1,9.0,1
2.9819,1,0.0,1,2.9819,1,11.9196,2,17.8835,2
5.8151,2,5.8151,2,5.8151,2,0.0,1,17.4452,2
2.9819,1,2.9819,1,2.9819,1,8.4158,1,17.3616,1
4.4535,1,4.4535,1,4.4535,1,14.6233,2,27.9837,2
