BB,BB Band,BP,BP Band,SB,SB Band,VB,VB Band,Overall Risk Level,Overall Risk Level Band
7.0981,1,7.0981,1,14.1961,2,0.0,1,28.3923,3
4.0988,1,4.0988,1,8.1975,1,0.0,1,16.3951,2
4.0988,1,4.0988,1,8.1975,1,0.0,1,16.3951,2
4.0988,1,4.0988,1,8.1975,1,0.0,1,16.3951,2
4.0988,1,4.0988,1,8.1975,1,0.0,1,16.3951,2
4.0988,1,4.0988,1,8.1975,1,0.0,1,16.3951,2
4.0988,1,4.0988,1,8.1975,1,0.0,1,16.3951,2
4.0988,1,4.0988,1,8.1975,1,0.0,1,16.3951,2
4.0988,1,4.0988,1,8.1975,1,9.5964,1,25.9915,3
9.8057,1,9.8057,1,19.6115,2,21.8414,2,61.0644,4
11.9423,2,11.9423,2,23.8846,2,0.0,1,47.7693,3
11.9423,2,11.9423,2,23.8846,2,26.3032,3,74.0725,4
4.6101,1,4.6101,1,9.2202,1,14.6902,2,33.1306,3
3.2933,1,3.2933,1,6.5867,1,0.0,1,13.1734,2
2.9819,1,2.9819,1,5.9639,1,0.0,1,11.9278,2
4.0988,1,4.0988,1,8.1975,1,10.1228,2,26.5179,3
4.0988,1,4.0988,1,8.1975,1,10.1228,2,26.5179,3
2.4401,1,2.4401,1,4.8801,1,0.0,1,9.7602,1
4.0988,1,4.0988,1,8.1975,1,10.1228,2,26.5179,3
4.0988,1,4.0988,1,8.1975,1,10.1228,2,26.5179,3
4.0988,1,4.0988,1,8.1975,1,10.1228,2,26.5179,3
4.6101,1,4.6101,1,9.2202,1,0.0,1,18.4403,2
3.2933,1,3.2933,1,6.5867,1,0.0,1,13.1734,2
7.0981,1,0.0,1,14.1961,2,20.8779,2,42.1721,3
