path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
serangoon_garden_way,Serangoon Garden Way,0.0,32432.877,38251.844,25.196,25.196,25.236,0.275,1.0,SERANGOON GARDEN WAY,5.731
serangoon_garden_way,Serangoon Garden Way,2.0,32432.969,38253.842,25.236,25.236,25.241,1.108,1.0,SERANGOON GARDEN WAY,4.354
serangoon_garden_way,Serangoon Garden Way,4.0,32433.061,38255.84,25.246,25.246,25.246,1.125,1.0,SERANGOON GARDEN WAY,2.976
serangoon_garden_way,Serangoon Garden Way,6.0,32433.153,38257.837,25.302,25.302,25.302,1.506,1.0,SERANGOON GARDEN WAY,1.599
serangoon_garden_way,Serangoon Garden Way,8.0,32433.245,38259.835,25.326,25.326,25.326,2.087,1.0,SERANGOON GARDEN WAY,0.222
serangoon_garden_way,Serangoon Garden Way,10.0,32433.337,38261.833,25.362,25.362,25.362,3.188,1.0,SERANGOON GARDEN WAY,1.155
serangoon_garden_way,Serangoon Garden Way,12.0,32432.156,38262.831,25.414,25.414,25.414,2.894,1.0,SERANGOON GARDEN WAY,0.915
serangoon_garden_way,Serangoon Garden Way,14.0,32430.193,38263.213,25.6,25.6,25.557,2.444,1.0,SERANGOON GARDEN WAY,0.319
serangoon_garden_way,Serangoon Garden Way,16.0,32428.23,38263.595,25.589,25.589,25.557,1.503,1.0,SERANGOON GARDEN WAY,1.553
serangoon_garden_way,Serangoon Garden Way,18.0,32426.267,38263.978,25.557,25.557,25.557,-2.191,1.0,SERANGOON GARDEN WAY,2.787
serangoon_garden_way,Serangoon Garden Way,20.0,32424.304,38264.36,25.534,25.534,25.534,-2.769,1.0,SERANGOON GARDEN WAY,4.021
serangoon_garden_way,Serangoon Garden Way,22.0,32422.341,38264.742,25.382,25.382,25.382,-3.481,1.0,SERANGOON GARDEN WAY,5.255
serangoon_garden_way,Serangoon Garden Way,24.0,32420.378,38265.124,25.336,25.336,25.336,-3.678,1.0,SERANGOON GARDEN WAY,6.489
serangoon_garden_way,Serangoon Garden Way,26.0,32418.414,38265.507,25.278,25.278,25.278,-1.778,1.0,SERANGOON GARDEN WAY,7.723
serangoon_garden_way,Serangoon Garden Way,28.0,32416.451,38265.889,25.24,25.24,25.24,-1.2,1.0,SERANGOON GARDEN WAY,8.668
serangoon_garden_way,Serangoon Garden Way,30.0,32414.488,38266.271,25.18,25.18,25.24,0.381,1.0,SERANGOON GARDEN WAY,9.565
serangoon_garden_way,Serangoon Garden Way,32.0,32412.525,38266.653,25.12,25.12,25.24,4.189,1.0,SERANGOON GARDEN WAY,10.462
serangoon_garden_way,Serangoon Garden Way,34.0,32410.562,38267.036,25.309,25.309,25.309,7.997,1.0,SERANGOON GARDEN WAY,11.358
serangoon_garden_way,Serangoon Garden Way,36.0,32408.599,38267.418,25.182,25.594,25.594,8.305,1.0,SERANGOON GARDEN WAY,12.255
serangoon_garden_way,Serangoon Garden Way,38.0,32406.636,38267.8,25.879,25.879,25.879,,,SERANGOON GARDEN WAY,13.152
serangoon_garden_way,Serangoon Garden Way,40.0,32404.672,38268.182,26.067,26.067,25.904,,,SERANGOON GARDEN WAY,14.049
serangoon_garden_way,Serangoon Garden Way,42.0,32402.709,38268.565,27.486,25.985,25.904,,,SERANGOON GARDEN WAY,14.945
serangoon_garden_way,Serangoon Garden Way,44.0,32400.746,38268.947,26.549,25.904,25.904,,,SERANGOON GARDEN WAY,15.842
serangoon_garden_way,Serangoon Garden Way,46.0,32398.783,38269.329,25.5,25.766,25.766,,,SERANGOON GARDEN WAY,16.739
serangoon_garden_way,Serangoon Garden Way,48.0,32396.82,38269.711,25.161,25.628,25.766,,,SERANGOON GARDEN WAY,17.641
serangoon_garden_way,Serangoon Garden Way,50.0,32394.857,38270.094,25.6,25.756,25.766,,,SERANGOON GARDEN WAY,18.663
serangoon_garden_way,Serangoon Garden Way,52.0,32392.894,38270.476,26.082,25.885,25.885,,,SERANGOON GARDEN WAY,19.758
serangoon_garden_way,Serangoon Garden Way,54.0,32390.931,38270.858,27.494,26.013,26.013,,,SERANGOON GARDEN WAY,20.852
serangoon_garden_way,Serangoon Garden Way,56.0,32388.967,38271.24,27.852,26.141,26.141,,,SERANGOON GARDEN WAY,21.946
serangoon_garden_way,Serangoon Garden Way,58.0,32387.004,38271.623,28.097,26.269,26.269,,,SERANGOON GARDEN WAY,23.04
serangoon_garden_way,Serangoon Garden Way,60.0,32385.041,38272.005,26.397,26.397,26.397,,,SERANGOON GARDEN WAY,24.134
serangoon_garden_way,Serangoon Garden Way,62.0,32383.078,38272.387,25.416,26.69,26.69,,,SERANGOON GARDEN WAY,25.228
serangoon_garden_way,Serangoon Garden Way,64.0,32381.115,38272.769,30.631,26.984,26.984,14.117,2.0,SERANGOON GARDEN WAY,26.322
serangoon_garden_way,Serangoon Garden Way,66.0,32379.152,38273.152,30.105,27.277,27.277,,,SERANGOON GARDEN WAY,27.416
serangoon_garden_way,Serangoon Garden Way,68.0,32377.189,38273.534,29.586,27.57,27.527,,,SERANGOON GARDEN WAY,28.511
serangoon_garden_way,Serangoon Garden Way,70.0,32375.226,38273.916,27.863,27.527,27.57,,,SERANGOON GARDEN WAY,29.605
serangoon_garden_way,Serangoon Garden Way,72.0,32373.262,38274.298,26.322,27.75,27.75,,,SERANGOON GARDEN WAY,30.699
serangoon_garden_way,Serangoon Garden Way,74.0,32371.299,38274.681,27.103,27.974,27.974,,,SERANGOON GARDEN WAY,31.793
serangoon_garden_way,Serangoon Garden Way,76.0,32369.336,38275.063,26.772,28.969,28.969,,,SERANGOON GARDEN WAY,32.887
serangoon_garden_way,Serangoon Garden Way,78.0,32367.373,38275.445,28.226,29.963,29.963,,,SERANGOON GARDEN WAY,33.981
serangoon_garden_way,Serangoon Garden Way,80.0,32365.41,38275.827,28.08,30.957,30.957,,,SERANGOON GARDEN WAY,35.075
serangoon_garden_way,Serangoon Garden Way,82.0,32363.447,38276.21,28.211,,31.952,,,SERANGOON GARDEN WAY,36.169
serangoon_garden_way,Serangoon Garden Way,84.0,32361.484,38276.592,,32.946,32.946,,,SERANGOON GARDEN WAY,37.263
serangoon_garden_way,Serangoon Garden Way,86.0,32359.52,38276.974,,33.94,33.94,,,SERANGOON GARDEN WAY,38.358
serangoon_garden_way,Serangoon Garden Way,88.0,32357.557,38277.356,42.346,34.935,34.425,,,SERANGOON GARDEN WAY,39.452
serangoon_garden_way,Serangoon Garden Way,90.0,32355.594,38277.739,42.346,35.929,34.425,,,SERANGOON GARDEN WAY,40.546
serangoon_garden_way,Serangoon Garden Way,92.0,32353.631,38278.121,42.346,34.425,34.425,,,SERANGOON GARDEN WAY,41.64
serangoon_garden_way,Serangoon Garden Way,94.0,32351.668,38278.503,42.374,32.921,32.921,,,SERANGOON GARDEN WAY,42.734
serangoon_garden_way,Serangoon Garden Way,96.0,32349.705,38278.885,49.542,31.418,31.418,,,SERANGOON GARDEN WAY,43.828
serangoon_garden_way,Serangoon Garden Way,98.0,32347.742,38279.268,,,30.666,,,SERANGOON GARDEN WAY,44.922
serangoon_garden_way,Serangoon Garden Way,100.0,32345.779,38279.65,,,29.914,,,SERANGOON GARDEN WAY,46.016
serangoon_garden_way,Serangoon Garden Way,102.0,32343.815,38280.032,,,29.162,,,SERANGOON GARDEN WAY,47.11
serangoon_garden_way,Serangoon Garden Way,104.0,32341.852,38280.414,,,25.403,,,SERANGOON GARDEN WAY,48.205
serangoon_garden_way,Serangoon Garden Way,646.0,31809.844,38384.004,14.956,,21.644,,,SERANGOON GARDEN WAY,27.669
serangoon_garden_way,Serangoon Garden Way,648.0,31807.881,38384.386,15.312,,20.892,,,SERANGOON GARDEN WAY,27.302
serangoon_garden_way,Serangoon Garden Way,650.0,31805.917,38384.769,16.083,,20.14,,,SERANGOON GARDEN WAY,26.936
serangoon_garden_way,Serangoon Garden Way,652.0,31803.954,38385.151,14.735,19.388,19.388,,,SERANGOON GARDEN WAY,26.569
serangoon_garden_way,Serangoon Garden Way,654.0,31801.991,38385.533,14.651,17.885,17.885,,,SERANGOON GARDEN WAY,26.203
serangoon_garden_way,Serangoon Garden Way,656.0,31800.028,38385.915,14.714,16.381,16.381,,,SERANGOON GARDEN WAY,25.836
serangoon_garden_way,Serangoon Garden Way,658.0,31798.065,38386.298,14.877,14.877,15.495,,,SERANGOON GARDEN WAY,25.47
serangoon_garden_way,Serangoon Garden Way,660.0,31796.102,38386.68,14.955,15.159,15.495,,,SERANGOON GARDEN WAY,25.103
serangoon_garden_way,Serangoon Garden Way,662.0,31794.139,38387.062,15.007,15.495,15.495,,,SERANGOON GARDEN WAY,24.737
serangoon_garden_way,Serangoon Garden Way,664.0,31792.175,38387.444,15.208,15.832,15.832,,,SERANGOON GARDEN WAY,24.37
serangoon_garden_way,Serangoon Garden Way,666.0,31790.212,38387.827,16.337,16.209,16.209,,,SERANGOON GARDEN WAY,24.004
serangoon_garden_way,Serangoon Garden Way,668.0,31788.249,38388.209,17.048,16.585,16.585,,,SERANGOON GARDEN WAY,23.637
serangoon_garden_way,Serangoon Garden Way,670.0,31786.286,38388.591,18.042,16.962,16.962,,,SERANGOON GARDEN WAY,23.271
serangoon_garden_way,Serangoon Garden Way,672.0,31784.323,38388.973,18.937,17.339,17.339,,,SERANGOON GARDEN WAY,22.904
serangoon_garden_way,Serangoon Garden Way,674.0,31782.36,38389.356,16.962,17.715,17.715,,,SERANGOON GARDEN WAY,22.538
serangoon_garden_way,Serangoon Garden Way,676.0,31780.397,38389.738,16.915,18.092,18.092,,,SERANGOON GARDEN WAY,22.171
serangoon_garden_way,Serangoon Garden Way,678.0,31778.434,38390.12,18.464,18.469,18.469,,,SERANGOON GARDEN WAY,21.805
serangoon_garden_way,Serangoon Garden Way,680.0,31776.47,38390.502,18.753,18.753,18.661,,,SERANGOON GARDEN WAY,21.438
serangoon_garden_way,Serangoon Garden Way,682.0,31774.507,38390.885,19.697,18.707,18.661,,,SERANGOON GARDEN WAY,21.072
serangoon_garden_way,Serangoon Garden Way,684.0,31772.544,38391.267,18.478,18.661,18.672,-0.573,1.0,SERANGOON GARDEN WAY,20.705
serangoon_garden_way,Serangoon Garden Way,686.0,31770.581,38391.649,18.615,18.615,18.661,,,SERANGOON GARDEN WAY,20.339
serangoon_garden_way,Serangoon Garden Way,688.0,31768.618,38392.031,17.02,18.672,18.615,,,SERANGOON GARDEN WAY,19.973
serangoon_garden_way,Serangoon Garden Way,690.0,31766.655,38392.414,14.11,18.511,18.511,,,SERANGOON GARDEN WAY,19.606
serangoon_garden_way,Serangoon Garden Way,692.0,31764.692,38392.796,18.785,18.351,18.351,,,SERANGOON GARDEN WAY,19.24
serangoon_garden_way,Serangoon Garden Way,694.0,31762.729,38393.178,18.549,17.67,17.67,,,SERANGOON GARDEN WAY,18.873
serangoon_garden_way,Serangoon Garden Way,696.0,31760.765,38393.56,19.005,16.989,16.989,,,SERANGOON GARDEN WAY,18.507
serangoon_garden_way,Serangoon Garden Way,698.0,31758.802,38393.943,17.778,16.308,16.308,,,SERANGOON GARDEN WAY,18.14
serangoon_garden_way,Serangoon Garden Way,700.0,31756.839,38394.325,17.609,,15.627,,,SERANGOON GARDEN WAY,17.774
serangoon_garden_way,Serangoon Garden Way,702.0,31754.876,38394.707,13.453,,14.945,,,SERANGOON GARDEN WAY,17.407
serangoon_garden_way,Serangoon Garden Way,704.0,31752.913,38395.089,12.709,14.264,14.264,,,SERANGOON GARDEN WAY,17.041
serangoon_garden_way,Serangoon Garden Way,706.0,31750.95,38395.472,11.956,13.583,13.583,,,SERANGOON GARDEN WAY,16.72
serangoon_garden_way,Serangoon Garden Way,708.0,31748.987,38395.854,11.38,12.902,12.902,,,SERANGOON GARDEN WAY,16.426
serangoon_garden_way,Serangoon Garden Way,710.0,31747.023,38396.236,11.509,12.221,12.487,,,SERANGOON GARDEN WAY,16.133
serangoon_garden_way,Serangoon Garden Way,712.0,31745.06,38396.618,14.574,12.354,12.354,,,SERANGOON GARDEN WAY,15.839
serangoon_garden_way,Serangoon Garden Way,714.0,31743.097,38397.001,12.487,12.487,12.258,,,SERANGOON GARDEN WAY,15.546
serangoon_garden_way,Serangoon Garden Way,716.0,31741.134,38397.383,12.954,12.258,12.258,,,SERANGOON GARDEN WAY,15.252
serangoon_garden_way,Serangoon Garden Way,718.0,31739.171,38397.765,12.477,12.029,12.029,,,SERANGOON GARDEN WAY,14.959
serangoon_garden_way,Serangoon Garden Way,720.0,31737.208,38398.147,12.79,11.8,11.8,,,SERANGOON GARDEN WAY,14.665
serangoon_garden_way,Serangoon Garden Way,722.0,31735.245,38398.53,11.16,11.572,11.572,,,SERANGOON GARDEN WAY,14.372
serangoon_garden_way,Serangoon Garden Way,724.0,31733.282,38398.912,15.566,11.343,11.343,,,SERANGOON GARDEN WAY,14.078
serangoon_garden_way,Serangoon Garden Way,726.0,31731.318,38399.294,11.973,11.114,11.114,,,SERANGOON GARDEN WAY,13.784
serangoon_garden_way,Serangoon Garden Way,728.0,31729.355,38399.676,10.732,10.885,10.885,,,SERANGOON GARDEN WAY,13.491
serangoon_garden_way,Serangoon Garden Way,730.0,31727.392,38400.059,10.657,10.657,10.657,,,SERANGOON GARDEN WAY,13.197
serangoon_garden_way,Serangoon Garden Way,732.0,31725.429,38400.441,10.533,10.533,10.533,,,SERANGOON GARDEN WAY,12.904
serangoon_garden_way,Serangoon Garden Way,734.0,31723.466,38400.823,10.486,10.486,10.486,-4.333,1.0,SERANGOON GARDEN WAY,12.61
serangoon_garden_way,Serangoon Garden Way,736.0,31721.503,38401.205,10.464,10.464,10.464,,,SERANGOON GARDEN WAY,12.317
serangoon_garden_way,Serangoon Garden Way,738.0,31719.54,38401.588,10.31,10.31,10.31,,,SERANGOON GARDEN WAY,12.023
serangoon_garden_way,Serangoon Garden Way,740.0,31717.576,38401.97,10.612,10.197,10.197,-6.012,1.0,SERANGOON GARDEN WAY,11.73
serangoon_garden_way,Serangoon Garden Way,742.0,31715.613,38402.352,10.058,10.084,10.084,-4.087,1.0,SERANGOON GARDEN WAY,11.436
serangoon_garden_way,Serangoon Garden Way,744.0,31713.65,38402.734,9.971,9.971,9.983,,,SERANGOON GARDEN WAY,11.142
serangoon_garden_way,Serangoon Garden Way,746.0,31711.687,38403.117,9.966,9.966,9.983,,,SERANGOON GARDEN WAY,10.849
