path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
serangoon_garden_way,1,Serangoon Garden Way_Cam4_20260202_082419_492_C.jpeg,,10.762,5.381,6.0,25.302,1.506,1.0
serangoon_garden_way,2,Serangoon Garden Way_Cam4_20260202_082426_099_C.jpeg,,970.323,490.542,,,,
serangoon_garden_way,3,Serangoon Garden Way_Cam4_20260202_091415_439_B.jpeg,,980.868,975.595,,,,
serangoon_garden_way,4,Serangoon Garden Way_Cam4_20260202_091418_442_B.jpeg,,986.419,983.644,,,,
serangoon_garden_way,5,Serangoon Garden Way_Cam4_20260202_091420_244_B.jpeg,,1113.625,1050.022,1050.0,10.983,,
serangoon_garden_way,6,Serangoon Garden Way_Cam4_20260202_091654_133_B.jpeg,,1126.004,1119.814,,,,
serangoon_garden_way,7,Serangoon Garden Way_Cam4_20260202_091658_339_B.jpeg,,1135.896,1130.95,,,,
serangoon_garden_way,8,Serangoon Garden Way_Cam4_20260202_091701_942_B.jpeg,,1144.028,1139.962,,,,
serangoon_garden_way,9,Serangoon Garden Way_Cam4_20260202_091704_948_B.jpeg,,1205.054,1174.541,1174.0,10.991,,
serangoon_garden_way,10,Serangoon Garden Way_Cam4_20260202_091825_448_B.jpeg,,1228.699,1216.877,1216.0,9.871,,
serangoon_garden_way,11,Serangoon Garden Way_Cam4_20260202_091833_859_B.jpeg,,1237.75,1233.225,1234.0,8.948,,
serangoon_garden_way,12,Serangoon Garden Way_Cam4_20260202_091837_466_B.jpeg,,1251.752,1244.751,1244.0,8.881,0.784,1.0
serangoon_garden_way,13,Serangoon Garden Way_Cam4_20260202_091842_894_B.jpeg,,1257.472,1254.612,1254.0,9.146,2.397,1.0
serangoon_garden_way,14,Serangoon Garden Way_Cam4_20260202_091845_298_B.jpeg,,1290.207,1273.84,1272.0,9.703,,
serangoon_garden_way,15,Serangoon Garden Way_Cam4_20260202_091858_515_B.jpeg,,1341.728,1315.967,,,,
serangoon_garden_way,16,Serangoon Garden Way_Cam4_20260202_091918_941_B.jpeg,,1351.443,1346.585,1346.0,10.762,5.798,1.0
serangoon_garden_way,17,Serangoon Garden Way_Cam4_20260202_091922_545_B.jpeg,,1360.621,1356.032,1356.0,11.316,4.786,1.0
serangoon_garden_way,18,Serangoon Garden Way_Cam4_20260202_091926_153_B.jpeg,,1385.2,1372.911,1372.0,11.474,-0.258,1.0
serangoon_garden_way,19,Serangoon Garden Way_Cam4_20260202_091935_162_B.jpeg,,1429.655,1407.428,1408.0,11.914,2.46,1.0
serangoon_garden_way,20,Serangoon Garden Way_Cam4_20260202_091953_190_B.jpeg,,1454.862,1442.259,1442.0,13.674,,
serangoon_garden_way,21,Serangoon Garden Way_Cam4_20260202_092004_000_B.jpeg,,1480.223,1467.542,1468.0,13.159,0.575,1.0
serangoon_garden_way,22,Serangoon Garden Way_Cam4_20260202_092015_410_B.jpeg,,1489.892,1485.057,1486.0,13.435,,
serangoon_garden_way,23,Serangoon Garden Way_Cam4_20260202_092019_621_B.jpeg,,1519.817,1504.855,1504.0,13.618,,
serangoon_garden_way,24,Serangoon Garden Way_Cam4_20260202_092430_794_B.jpeg,,1526.579,1523.198,1524.0,13.737,,
serangoon_garden_way,25,Serangoon Garden Way_Cam4_20260202_092433_197_B.jpeg,,1553.89,1540.235,1540.0,13.85,-0.45,1.0
serangoon_garden_way,26,Serangoon Garden Way_Cam4_20260202_092443_412_B.jpeg,,1581.754,1567.822,1568.0,14.053,2.115,1.0
serangoon_garden_way,27,Serangoon Garden Way_Cam4_20260202_092453_628_B.jpeg,,1590.653,1586.204,1586.0,14.16,-0.419,1.0
serangoon_garden_way,28,Serangoon Garden Way_Cam4_20260202_092456_632_B.jpeg,,1600.489,1595.571,1596.0,14.39,1.309,1.0
serangoon_garden_way,29,Serangoon Garden Way_Cam4_20260202_092500_235_B.jpeg,,1629.996,1615.243,1616.0,14.564,1.025,1.0
serangoon_garden_way,30,Serangoon Garden Way_Cam4_20260202_092509_844_B.jpeg,,1638.676,1634.336,1634.0,14.724,1.825,1.0
serangoon_garden_way,31,Serangoon Garden Way_Cam4_20260202_092512_847_B.jpeg,,1646.559,1642.617,1642.0,14.841,0.336,1.0
serangoon_garden_way,32,Serangoon Garden Way_Cam4_20260202_092515_851_B.jpeg,,1656.528,1651.543,1652.0,14.672,1.772,1.0
serangoon_garden_way,33,Serangoon Garden Way_Cam4_20260202_092520_070_B.jpeg,,1734.413,1695.47,1696.0,14.956,-0.125,1.0
serangoon_garden_way,34,Serangoon Garden Way_Cam4_20260202_092559_116_B.jpeg,,1746.779,1740.596,1740.0,17.939,,
serangoon_garden_way,35,Serangoon Garden Way_Cam4_20260202_092603_921_B.jpeg,,1756.438,1751.608,1752.0,18.193,,
serangoon_garden_way,36,Serangoon Garden Way_Cam4_20260202_092607_523_B.jpeg,,1764.456,1760.447,1760.0,18.481,,
serangoon_garden_way,37,Serangoon Garden Way_Cam4_20260202_092609_931_B.jpeg,,1774.429,1769.442,1770.0,17.657,,
serangoon_garden_way,38,Serangoon Garden Way_Cam4_20260202_092612_935_B.jpeg,,1786.994,1780.711,1780.0,16.632,,
serangoon_garden_way,39,Serangoon Garden Way_Cam4_20260202_092616_539_B.jpeg,,1811.398,1799.196,1800.0,16.135,,
serangoon_garden_way,40,Serangoon Garden Way_Cam4_20260202_092623_147_B.jpeg,,1824.456,1817.927,1818.0,16.202,,
serangoon_garden_way,41,Serangoon Garden Way_Cam4_20260202_092627_351_B.jpeg,,1832.193,1828.325,1828.0,16.189,,
serangoon_garden_way,42,Serangoon Garden Way_Cam4_20260202_092629_756_B.jpeg,,1857.24,1844.717,1844.0,17.354,0.094,1.0
serangoon_garden_way,43,Serangoon Garden Way_Cam4_20260202_092640_570_B.jpeg,,1866.048,1861.644,1862.0,17.483,,
serangoon_garden_way,44,Serangoon Garden Way_Cam4_20260202_092643_571_B.jpeg,,1874.014,1870.031,1870.0,16.852,,
serangoon_garden_way,45,Serangoon Garden Way_Cam4_20260202_092645_972_B.jpeg,,1905.644,1889.829,1890.0,15.983,0.0,1.0
serangoon_garden_way,46,Serangoon Garden Way_Cam4_20260202_092655_608_B.jpeg,,1917.919,1911.781,1912.0,15.963,-0.225,1.0
serangoon_garden_way,47,Serangoon Garden Way_Cam4_20260202_092700_412_B.jpeg,,1926.989,1922.454,1922.0,15.945,-0.812,1.0
serangoon_garden_way,48,Serangoon Garden Way_Cam4_20260202_092703_416_B.jpeg,,1953.062,1940.026,1940.0,16.307,,
serangoon_garden_way,49,Serangoon Garden Way_Cam4_20260202_092712_425_B.jpeg,,1977.215,1965.139,1966.0,17.163,,
serangoon_garden_way,50,Serangoon Garden Way_Cam4_20260202_092723_847_B.jpeg,,2076.794,2027.005,2028.0,15.581,,
serangoon_garden_way,51,Serangoon Garden Way_Cam4_20260202_092955_384_B.jpeg,,2086.876,2081.835,2082.0,14.576,,
serangoon_garden_way,52,Serangoon Garden Way_Cam4_20260202_092959_590_B.jpeg,,2098.087,2092.482,2092.0,14.742,,
serangoon_garden_way,53,Serangoon Garden Way_Cam4_20260202_093003_794_B.jpeg,,2109.272,2103.68,2104.0,13.083,,
serangoon_garden_way,54,Serangoon Garden Way_Cam4_20260202_093008_600_B.jpeg,,2116.597,2112.935,2112.0,12.639,,
serangoon_garden_way,55,Serangoon Garden Way_Cam4_20260202_093011_603_B.jpeg,,2226.955,2171.776,2172.0,11.509,,
serangoon_garden_way,56,Serangoon Garden Way_Cam4_20260202_093156_772_B.jpeg,,2237.336,2232.146,2232.0,10.23,0.76,1.0
serangoon_garden_way,57,Serangoon Garden Way_Cam4_20260202_093235_833_B.jpeg,,2245.502,2241.419,2242.0,10.351,,
serangoon_garden_way,58,Serangoon Garden Way_Cam4_20260202_093238_236_B.jpeg,,2256.326,2250.914,2250.0,10.465,1.528,1.0
serangoon_garden_way,59,Serangoon Garden Way_Cam4_20260202_093241_241_B.jpeg,,2269.02,2262.673,2262.0,10.583,2.116,1.0
serangoon_garden_way,60,Serangoon Garden Way_Cam4_20260202_093244_846_B.jpeg,,2291.952,2280.486,2280.0,10.902,2.05,1.0
serangoon_garden_way,61,Serangoon Garden Way_Cam4_20260202_093250_853_B.jpeg,,2303.731,2297.841,2298.0,11.755,,
serangoon_garden_way,62,Serangoon Garden Way_Cam4_20260202_093254_461_B.jpeg,,2327.318,2315.524,2316.0,12.867,,
serangoon_garden_way,63,Serangoon Garden Way_Cam4_20260202_093302_871_B.jpeg,,2339.409,2333.363,2334.0,12.614,-3.634,1.0
serangoon_garden_way,64,Serangoon Garden Way_Cam4_20260202_093338_913_B.jpeg,,2410.101,2374.755,2374.0,13.759,,
serangoon_garden_way,65,Serangoon Garden Way_Cam4_20260202_093406_524_B.jpeg,,2420.92,2415.511,2416.0,14.563,,
serangoon_garden_way,66,Serangoon Garden Way_Cam4_20260202_093410_730_B.jpeg,,2432.745,2426.833,2426.0,15.17,,
serangoon_garden_way,67,Serangoon Garden Way_Cam4_20260202_093414_935_B.jpeg,,2456.691,2444.718,2444.0,15.01,,
serangoon_garden_way,68,Serangoon Garden Way_Cam4_20260202_093423_944_B.jpeg,,2468.764,2462.728,2462.0,15.228,2.822,1.0
serangoon_garden_way,69,Serangoon Garden Way_Cam4_20260202_093428_177_B.jpeg,,2475.653,2472.208,2472.0,15.474,2.119,1.0
serangoon_garden_way,70,Serangoon Garden Way_Cam4_20260202_093430_581_B.jpeg,,2505.021,2490.337,2490.0,16.962,,
serangoon_garden_way,71,Serangoon Garden Way_Cam4_20260202_093439_591_B.jpeg,,2511.514,2508.268,2508.0,17.125,,
serangoon_garden_way,72,Serangoon Garden Way_Cam4_20260202_093441_392_B.jpeg,,2541.601,2526.558,2526.0,16.212,0.338,1.0
serangoon_garden_way,73,Serangoon Garden Way_Cam4_20260202_093450_410_B.jpeg,,2566.064,2553.832,2554.0,16.035,0.294,1.0
serangoon_garden_way,74,Serangoon Garden Way_Cam4_20260202_093457_624_B.jpeg,,2577.181,2571.622,2572.0,16.043,0.038,1.0
serangoon_garden_way,75,Serangoon Garden Way_Cam4_20260202_093501_229_B.jpeg,,2588.564,2582.872,2582.0,16.38,,
serangoon_garden_way,76,Serangoon Garden Way_Cam4_20260202_093505_434_B.jpeg,,2613.603,2601.084,2602.0,16.15,-1.234,1.0
serangoon_garden_way,77,Serangoon Garden Way_Cam4_20260202_093513_840_B.jpeg,,2625.234,2619.419,2620.0,16.244,0.933,1.0
serangoon_garden_way,78,Serangoon Garden Way_Cam4_20260202_093517_443_B.jpeg,,2647.776,2636.505,2636.0,16.446,1.879,1.0
serangoon_garden_way,79,Serangoon Garden Way_Cam4_20260202_093524_652_B.jpeg,,2658.877,2653.327,2654.0,17.083,,
serangoon_garden_way,80,Serangoon Garden Way_Cam4_20260202_093528_855_B.jpeg,,2670.725,2664.801,2664.0,17.073,,
serangoon_garden_way,81,Serangoon Garden Way_Cam4_20260202_093533_667_B.jpeg,,2693.589,2682.157,2682.0,17.044,,
serangoon_garden_way,82,Serangoon Garden Way_Cam4_20260202_093542_079_B.jpeg,,2705.997,2699.793,2700.0,16.818,-0.925,1.0
serangoon_garden_way,83,Serangoon Garden Way_Cam4_20260202_093546_283_B.jpeg,,2729.003,2717.5,2718.0,16.606,-1.056,1.0
serangoon_garden_way,84,Serangoon Garden Way_Cam4_20260202_093553_491_B.jpeg,,2740.885,2734.944,2734.0,16.409,-1.012,1.0
serangoon_garden_way,85,Serangoon Garden Way_Cam4_20260202_093557_701_B.jpeg,,2752.277,2746.581,2746.0,16.337,-2.712,1.0
serangoon_garden_way,86,Serangoon Garden Way_Cam4_20260202_093602_504_B.jpeg,,2762.691,2757.484,2758.0,16.082,0.812,1.0
serangoon_garden_way,87,Serangoon Garden Way_Cam4_20260202_093612_080_B.jpeg,,2782.849,2772.77,2772.0,16.227,-0.013,1.0
serangoon_garden_way,88,Serangoon Garden Way_Cam4_20260202_093624_108_B.jpeg,,2794.355,2788.602,2788.0,16.209,0.881,1.0
serangoon_garden_way,89,Serangoon Garden Way_Cam4_20260202_093628_311_B.jpeg,,2805.792,2800.073,2800.0,16.369,1.338,1.0
serangoon_garden_way,90,Serangoon Garden Way_Cam4_20260202_093632_515_B.jpeg,,2829.398,2817.595,2818.0,16.677,1.362,1.0
serangoon_garden_way,91,Serangoon Garden Way_Cam4_20260202_093641_537_B.jpeg,,2841.954,2835.676,2836.0,16.928,1.456,1.0
serangoon_garden_way,92,Serangoon Garden Way_Cam4_20260202_093646_345_B.jpeg,,2865.941,2853.947,2854.0,18.214,-3.349,1.0
serangoon_garden_way,93,Serangoon Garden Way_Cam4_20260202_093655_367_B.jpeg,,2877.181,2871.561,2872.0,17.655,,
serangoon_garden_way,94,Serangoon Garden Way_Cam4_20260202_093658_972_B.jpeg,,2884.663,2880.922,2880.0,18.125,,
serangoon_garden_way,95,Serangoon Garden Way_Cam4_20260202_093701_375_B.jpeg,,2912.923,2898.793,2898.0,16.858,,
serangoon_garden_way,96,Serangoon Garden Way_Cam4_20260202_093709_802_B.jpeg,,2925.175,2919.049,2920.0,16.273,0.155,1.0
serangoon_garden_way,97,Serangoon Garden Way_Cam4_20260202_093714_006_B.jpeg,,2950.34,2937.757,2938.0,16.024,0.006,1.0
serangoon_garden_way,98,Serangoon Garden Way_Cam4_20260202_093723_025_B.jpeg,,2991.904,2971.122,2972.0,17.393,,
serangoon_garden_way,99,Serangoon Garden Way_Cam4_20260202_093738_649_B.jpeg,,2998.3,2995.102,2996.0,18.052,,
serangoon_garden_way,100,Serangoon Garden Way_Cam4_20260202_093741_053_B.jpeg,,3008.818,3003.559,3004.0,15.971,,
serangoon_garden_way,101,Serangoon Garden Way_Cam4_20260202_093744_657_B.jpeg,,3063.541,3036.179,3036.0,14.982,,
serangoon_garden_way,102,Serangoon Garden Way_Cam4_20260202_093804_472_B.jpeg,,3108.051,3085.796,3086.0,14.808,-1.569,1.0
serangoon_garden_way,103,Serangoon Garden Way_Cam4_20260202_093821_287_B.jpeg,,3117.877,3112.964,3112.0,14.594,-0.022,1.0
serangoon_garden_way,104,Serangoon Garden Way_Cam4_20260202_093824_892_B.jpeg,,3165.492,3141.685,3142.0,14.469,0.045,1.0
serangoon_garden_way,105,Serangoon Garden Way_Cam4_20260202_093843_525_B.jpeg,,3195.453,3180.472,3180.0,14.687,,
serangoon_garden_way,106,Serangoon Garden Way_Cam4_20260202_093855_570_B.jpeg,,3204.454,3199.954,3200.0,13.841,-0.191,1.0
serangoon_garden_way,107,Serangoon Garden Way_Cam4_20260202_093859_175_B.jpeg,,3211.193,3207.824,3208.0,13.828,-0.562,1.0
serangoon_garden_way,108,Serangoon Garden Way_Cam4_20260202_093902_178_B.jpeg,,3221.953,3216.573,3216.0,13.89,6.13,1.0
serangoon_garden_way,109,Serangoon Garden Way_Cam4_20260202_093906_384_B.jpeg,,3276.797,3249.375,3250.0,14.601,,
serangoon_garden_way,110,Serangoon Garden Way_Cam4_20260202_094028_128_B.jpeg,,3302.33,3289.564,3290.0,13.902,,
serangoon_garden_way,111,Serangoon Garden Way_Cam4_20260202_094042_546_B.jpeg,,3316.39,3309.36,3310.0,12.369,-0.423,1.0
serangoon_garden_way,112,Serangoon Garden Way_Cam4_20260202_094047_951_B.jpeg,,3322.653,3319.522,3320.0,12.289,-5.781,1.0
serangoon_garden_way,113,Serangoon Garden Way_Cam4_20260202_094050_355_B.jpeg,,3333.098,3327.875,3328.0,11.73,-1.654,1.0
serangoon_garden_way,114,Serangoon Garden Way_Cam4_20260202_094053_958_B.jpeg,,3342.243,3337.671,3338.0,11.734,,
serangoon_garden_way,115,Serangoon Garden Way_Cam4_20260202_094057_562_B.jpeg,,3354.485,3348.364,3348.0,11.408,,
serangoon_garden_way,116,Serangoon Garden Way_Cam4_20260202_094102_967_B.jpeg,,3379.117,3366.801,3366.0,11.552,,
serangoon_garden_way,117,Serangoon Garden Way_Cam4_20260202_094112_580_B.jpeg,,3404.765,3391.941,3392.0,10.478,,
serangoon_garden_way,118,Serangoon Garden Way_Cam4_20260202_094122_792_B.jpeg,,3414.467,3409.616,,,,
serangoon_garden_way,119,Serangoon Garden Way_Cam4_20260202_094126_408_B.jpeg,,3442.352,3428.409,,,,
serangoon_garden_way,120,Serangoon Garden Way_Cam4_20260202_094136_024_B.jpeg,,3451.701,3447.026,,,,
serangoon_garden_way,121,Serangoon Garden Way_Cam4_20260202_094139_027_B.jpeg,,3461.737,3456.719,,,,
serangoon_garden_way,122,Serangoon Garden Way_Cam4_20260202_094142_630_B.jpeg,,3471.471,3466.604,,,,
serangoon_garden_way,123,Serangoon Garden Way_Cam4_20260202_094146_835_B.jpeg,,3482.031,3476.751,3476.0,9.28,-0.469,1.0
serangoon_garden_way,124,Serangoon Garden Way_Cam4_20260202_094152_245_B.jpeg,,3493.337,3487.684,3488.0,9.021,,
serangoon_garden_way,125,Serangoon Garden Way_Cam4_20260202_094158_877_B.jpeg,,3504.727,3499.032,3500.0,9.033,-3.059,1.0
serangoon_garden_way,126,Serangoon Garden Way_Cam4_20260202_094210_287_B.jpeg,,3510.272,3507.499,3508.0,9.224,4.867,1.0
serangoon_garden_way,127,Serangoon Garden Way_Cam4_20260202_094213_256_B.jpeg,,3595.842,3553.057,3554.0,8.843,,
serangoon_garden_way,128,Serangoon Garden Way_Cam4_20260202_094437_029_B.jpeg,,3608.06,3601.951,3602.0,9.066,2.431,1.0
serangoon_garden_way,129,Serangoon Garden Way_Cam4_20260202_094442_545_B.jpeg,,3619.698,3613.879,3614.0,9.377,0.748,1.0
serangoon_garden_way,130,Serangoon Garden Way_Cam4_20260202_094447_355_B.jpeg,,3625.614,3622.656,3622.0,9.566,3.681,1.0
serangoon_garden_way,131,Serangoon Garden Way_Cam4_20260202_094449_762_B.jpeg,,3651.85,3638.732,3638.0,9.961,4.331,1.0
serangoon_garden_way,132,Serangoon Garden Way_Cam4_20260202_094501_176_B.jpeg,,3663.013,3657.431,3658.0,10.929,3.16,1.0
serangoon_garden_way,133,Serangoon Garden Way_Cam4_20260202_094507_786_B.jpeg,,3687.934,3675.473,,,,
serangoon_garden_way,134,Serangoon Garden Way_Cam4_20260202_094518_597_B.jpeg,,3698.466,3693.2,3694.0,13.398,,
serangoon_garden_way,135,Serangoon Garden Way_Cam4_20260202_094522_802_B.jpeg,,3708.273,3703.369,3704.0,15.114,,
serangoon_garden_way,136,Serangoon Garden Way_Cam4_20260202_094526_474_B.jpeg,,3719.512,3713.892,3714.0,16.144,,
