Priority	Name	Road Category	Length (m)	Coverage
1	UPPER PAYA LEBAR ROAD	CAT2	2939.5	excellent
2	LORONG CHUAN	CAT4	2843.4	excellent
3	ANG MO KIO INDUSTRIAL PARK 2	CAT4	2589.3	excellent
4	SERANGOON GARDEN WAY	CAT4	2177.4	excellent
5	SERANGOON NORTH AVENUE 1	CAT4	2170.6	excellent
6	BARTLEY ROAD	CAT2	1665.4	excellent
7	SERANGOON AVENUE 3	CAT4	1579.9	excellent
8	TAMARIND ROAD	CAT5	1326.8	excellent
9	SERANGOON NORTH AVENUE 5	CAT4	1319.9	excellent
10	BOUNDARY ROAD	CAT2	1134.3	excellent
11	SERANGOON NORTH AVENUE 4	CAT4	1088.6	excellent
12	SELETAR ROAD	CAT4	1082.8	excellent
13	SERANGOON AVENUE 1	CAT4	1080.7	excellent
14	SERANGOON AVENUE 2	CAT4	1023.4	excellent
15	SERANGOON CENTRAL	CAT3	1007.3	excellent
