path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
upper_paya_lebar_road,Upper Paya Lebar Road,0.0,32899.105,37205.282,27.277,28.078,28.078,,,UPPER PAYA LEBAR ROAD,15.877
upper_paya_lebar_road,Upper Paya Lebar Road,2.0,32897.622,37203.94,28.078,28.078,28.013,,,UPPER PAYA LEBAR ROAD,15.858
upper_paya_lebar_road,Upper Paya Lebar Road,4.0,32896.138,37202.598,29.299,27.948,27.948,,,UPPER PAYA LEBAR ROAD,15.839
upper_paya_lebar_road,Upper Paya Lebar Road,6.0,32894.655,37201.256,27.851,27.668,27.668,,,UPPER PAYA LEBAR ROAD,15.82
upper_paya_lebar_road,Upper Paya Lebar Road,8.0,32893.172,37199.914,27.687,27.388,27.388,,,UPPER PAYA LEBAR ROAD,15.802
upper_paya_lebar_road,Upper Paya Lebar Road,10.0,32891.689,37198.573,27.9,26.172,26.172,,,UPPER PAYA LEBAR ROAD,15.783
upper_paya_lebar_road,Upper Paya Lebar Road,12.0,32890.206,37197.231,26.228,24.956,24.956,,,UPPER PAYA LEBAR ROAD,15.764
upper_paya_lebar_road,Upper Paya Lebar Road,14.0,32888.723,37195.889,26.548,23.74,23.74,,,UPPER PAYA LEBAR ROAD,15.745
upper_paya_lebar_road,Upper Paya Lebar Road,16.0,32888.733,37193.914,20.839,,22.525,,,UPPER PAYA LEBAR ROAD,14.262
upper_paya_lebar_road,Upper Paya Lebar Road,18.0,32888.8,37191.915,17.874,21.309,21.309,,,UPPER PAYA LEBAR ROAD,12.723
upper_paya_lebar_road,Upper Paya Lebar Road,20.0,32888.866,37189.917,17.598,20.093,20.093,,,UPPER PAYA LEBAR ROAD,11.184
upper_paya_lebar_road,Upper Paya Lebar Road,22.0,32888.933,37187.918,17.582,18.878,18.878,,,UPPER PAYA LEBAR ROAD,9.645
upper_paya_lebar_road,Upper Paya Lebar Road,24.0,32889.0,37185.919,17.139,17.662,17.821,,,UPPER PAYA LEBAR ROAD,8.105
upper_paya_lebar_road,Upper Paya Lebar Road,26.0,32889.067,37183.92,18.051,17.741,17.821,,,UPPER PAYA LEBAR ROAD,6.566
upper_paya_lebar_road,Upper Paya Lebar Road,28.0,32889.134,37181.921,17.821,17.821,17.821,,,UPPER PAYA LEBAR ROAD,5.027
upper_paya_lebar_road,Upper Paya Lebar Road,30.0,32889.201,37179.922,16.516,17.829,17.829,,,UPPER PAYA LEBAR ROAD,3.488
upper_paya_lebar_road,Upper Paya Lebar Road,32.0,32889.267,37177.923,17.223,17.837,17.837,,,UPPER PAYA LEBAR ROAD,1.949
upper_paya_lebar_road,Upper Paya Lebar Road,34.0,32889.334,37175.924,18.556,17.845,17.845,,,UPPER PAYA LEBAR ROAD,0.41
upper_paya_lebar_road,Upper Paya Lebar Road,36.0,32889.401,37173.926,17.456,17.854,17.854,,,UPPER PAYA LEBAR ROAD,1.13
upper_paya_lebar_road,Upper Paya Lebar Road,38.0,32889.468,37171.927,17.938,17.862,17.862,,,UPPER PAYA LEBAR ROAD,2.669
upper_paya_lebar_road,Upper Paya Lebar Road,40.0,32889.535,37169.928,17.911,17.87,17.87,,,UPPER PAYA LEBAR ROAD,4.208
