path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
upper_paya_lebar_road,1,Upper Paya Lebar Road_Cam4_20260110_143424_553_C.jpeg,,14.074,7.037,8.0,27.388,,
upper_paya_lebar_road,2,Upper Paya Lebar Road_Cam4_20260110_143428_169_C.jpeg,,61.737,37.905,38.0,17.862,,
upper_paya_lebar_road,3,Upper Paya Lebar Road_Cam4_20260112_083148_063_C.jpeg,,70.355,66.046,66.0,17.147,,
upper_paya_lebar_road,4,Upper Paya Lebar Road_Cam4_20260112_083149_864_C.jpeg,,81.368,75.861,76.0,17.431,,
upper_paya_lebar_road,5,Upper Paya Lebar Road_Cam4_20260112_083152_266_C.jpeg,,91.977,86.673,86.0,18.159,,
upper_paya_lebar_road,6,Upper Paya Lebar Road_Cam4_20260112_083154_668_C.jpeg,,101.438,96.708,96.0,19.725,,
upper_paya_lebar_road,7,Upper Paya Lebar Road_Cam4_20260112_083157_072_C.jpeg,,110.192,105.815,106.0,21.893,,
upper_paya_lebar_road,8,Upper Paya Lebar Road_Cam4_20260112_083159_475_C.jpeg,,121.66,115.926,116.0,23.332,,
upper_paya_lebar_road,9,Upper Paya Lebar Road_Cam4_20260112_083202_479_C.jpeg,,131.399,126.529,126.0,22.105,,
upper_paya_lebar_road,10,Upper Paya Lebar Road_Cam4_20260112_083204_888_C.jpeg,,140.081,135.74,,,,
upper_paya_lebar_road,11,Upper Paya Lebar Road_Cam4_20260112_083207_291_C.jpeg,,187.822,163.952,,,,
upper_paya_lebar_road,12,Upper Paya Lebar Road_Cam4_20260112_083225_312_C.jpeg,,199.791,193.807,194.0,19.28,,
upper_paya_lebar_road,13,Upper Paya Lebar Road_Cam4_20260112_083231_324_C.jpeg,,223.742,211.767,212.0,20.879,,
upper_paya_lebar_road,14,Upper Paya Lebar Road_Cam4_20260112_083238_533_C.jpeg,,254.952,239.347,240.0,25.165,,
upper_paya_lebar_road,15,Upper Paya Lebar Road_Cam4_20260112_083246_947_C.jpeg,,260.581,257.767,258.0,27.28,,
upper_paya_lebar_road,16,Upper Paya Lebar Road_Cam4_20260112_083248_748_C.jpeg,,270.933,265.757,266.0,26.258,,
upper_paya_lebar_road,17,Upper Paya Lebar Road_Cam4_20260112_083252_368_C.jpeg,,284.411,277.672,278.0,25.425,,
upper_paya_lebar_road,18,Upper Paya Lebar Road_Cam4_20260112_083257_777_C.jpeg,,291.21,287.811,288.0,25.887,,
upper_paya_lebar_road,19,Upper Paya Lebar Road_Cam4_20260112_083300_188_C.jpeg,,439.258,365.234,366.0,20.986,,
upper_paya_lebar_road,20,Upper Paya Lebar Road_Cam4_20260130_103525_714_A.jpeg,,447.694,443.476,,,,
upper_paya_lebar_road,21,Upper Paya Lebar Road_Cam4_20260130_103528_717_A.jpeg,,473.434,460.564,,,,
upper_paya_lebar_road,22,Upper Paya Lebar Road_Cam4_20260130_103536_655_A.jpeg,,483.164,478.299,,,,
upper_paya_lebar_road,23,Upper Paya Lebar Road_Cam4_20260130_103539_659_A.jpeg,,513.591,498.378,,,,
upper_paya_lebar_road,24,Upper Paya Lebar Road_Cam4_20260130_105519_293_A.jpeg,,525.108,519.35,520.0,48.279,,
upper_paya_lebar_road,25,Upper Paya Lebar Road_Cam4_20260130_105524_101_A.jpeg,,536.432,530.77,530.0,48.279,,
upper_paya_lebar_road,26,Upper Paya Lebar Road_Cam4_20260130_105536_736_A.jpeg,,539.675,538.053,538.0,48.279,,
upper_paya_lebar_road,27,Upper Paya Lebar Road_Cam4_20260130_105649_184_A.jpeg,,551.172,545.424,546.0,48.279,,
upper_paya_lebar_road,28,Upper Paya Lebar Road_Cam4_20260130_105702_422_A.jpeg,,556.859,554.016,554.0,48.279,,
upper_paya_lebar_road,29,Upper Paya Lebar Road_Cam4_20260130_105704_224_A.jpeg,,567.322,562.091,562.0,,,
upper_paya_lebar_road,30,Upper Paya Lebar Road_Cam4_20260130_105707_227_A.jpeg,,580.742,574.032,574.0,,,
upper_paya_lebar_road,31,Upper Paya Lebar Road_Cam4_20260130_105710_832_A.jpeg,,589.729,585.236,586.0,,,
upper_paya_lebar_road,32,Upper Paya Lebar Road_Cam4_20260130_105713_245_A.jpeg,,626.674,608.201,608.0,,,
