path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
upper_paya_lebar_road,Upper Paya Lebar Road,0.0,32899.105,37205.282,18.431,18.431,18.386,0.0,1.0,UPPER PAYA LEBAR ROAD,15.877
upper_paya_lebar_road,Upper Paya Lebar Road,2.0,32897.622,37203.94,18.386,18.386,18.409,-0.092,1.0,UPPER PAYA LEBAR ROAD,15.858
upper_paya_lebar_road,Upper Paya Lebar Road,4.0,32896.138,37202.598,18.381,18.381,18.386,,,UPPER PAYA LEBAR ROAD,15.839
upper_paya_lebar_road,Upper Paya Lebar Road,6.0,32894.655,37201.256,18.432,18.432,18.381,,,UPPER PAYA LEBAR ROAD,15.82
upper_paya_lebar_road,Upper Paya Lebar Road,8.0,32893.172,37199.914,23.708,18.27,18.27,,,UPPER PAYA LEBAR ROAD,15.802
upper_paya_lebar_road,Upper Paya Lebar Road,10.0,32891.689,37198.573,23.134,18.107,18.107,,,UPPER PAYA LEBAR ROAD,15.783
upper_paya_lebar_road,Upper Paya Lebar Road,12.0,32890.206,37197.231,24.13,17.945,17.945,,,UPPER PAYA LEBAR ROAD,15.764
upper_paya_lebar_road,Upper Paya Lebar Road,14.0,32888.723,37195.889,23.692,17.782,17.782,,,UPPER PAYA LEBAR ROAD,15.745
upper_paya_lebar_road,Upper Paya Lebar Road,16.0,32888.733,37193.914,18.495,17.62,17.62,,,UPPER PAYA LEBAR ROAD,14.262
upper_paya_lebar_road,Upper Paya Lebar Road,18.0,32888.8,37191.915,18.333,17.458,17.458,,,UPPER PAYA LEBAR ROAD,12.723
upper_paya_lebar_road,Upper Paya Lebar Road,20.0,32888.866,37189.917,17.95,17.295,17.295,,,UPPER PAYA LEBAR ROAD,11.184
upper_paya_lebar_road,Upper Paya Lebar Road,22.0,32888.933,37187.918,17.423,17.133,17.133,,,UPPER PAYA LEBAR ROAD,9.645
upper_paya_lebar_road,Upper Paya Lebar Road,24.0,32889.0,37185.919,16.97,16.97,16.97,,,UPPER PAYA LEBAR ROAD,8.105
upper_paya_lebar_road,Upper Paya Lebar Road,26.0,32889.067,37183.92,16.825,16.825,16.825,,,UPPER PAYA LEBAR ROAD,6.566
upper_paya_lebar_road,Upper Paya Lebar Road,28.0,32889.134,37181.921,16.686,16.686,16.686,-3.556,1.0,UPPER PAYA LEBAR ROAD,5.027
upper_paya_lebar_road,Upper Paya Lebar Road,30.0,32889.201,37179.922,16.449,16.449,16.686,,,UPPER PAYA LEBAR ROAD,3.488
upper_paya_lebar_road,Upper Paya Lebar Road,32.0,32889.267,37177.923,16.463,16.463,16.686,,,UPPER PAYA LEBAR ROAD,1.949
upper_paya_lebar_road,Upper Paya Lebar Road,34.0,32889.334,37175.924,16.468,16.692,16.692,,,UPPER PAYA LEBAR ROAD,0.41
upper_paya_lebar_road,Upper Paya Lebar Road,36.0,32889.401,37173.926,16.444,16.921,16.921,,,UPPER PAYA LEBAR ROAD,1.13
upper_paya_lebar_road,Upper Paya Lebar Road,38.0,32889.468,37171.927,17.731,17.101,17.101,,,UPPER PAYA LEBAR ROAD,2.669
upper_paya_lebar_road,Upper Paya Lebar Road,40.0,32889.535,37169.928,17.145,17.282,17.101,,,UPPER PAYA LEBAR ROAD,4.208
upper_paya_lebar_road,Upper Paya Lebar Road,42.0,32889.602,37167.929,18.2,17.19,17.101,,,UPPER PAYA LEBAR ROAD,5.747
upper_paya_lebar_road,Upper Paya Lebar Road,44.0,32889.669,37165.93,18.162,17.099,17.099,,,UPPER PAYA LEBAR ROAD,7.286
upper_paya_lebar_road,Upper Paya Lebar Road,46.0,32889.735,37163.931,22.654,17.007,17.007,,,UPPER PAYA LEBAR ROAD,8.825
upper_paya_lebar_road,Upper Paya Lebar Road,48.0,32889.802,37161.932,22.018,16.916,16.916,,,UPPER PAYA LEBAR ROAD,10.365
upper_paya_lebar_road,Upper Paya Lebar Road,50.0,32889.869,37159.933,22.038,16.824,16.824,,,UPPER PAYA LEBAR ROAD,11.904
